Attrition,Business Travel,Department,Education Field,Gender,Job Role,Marital Status,Over Time,Training Times Last Year,Age,Distance From Home,Education,Environment Satisfaction,Job Satisfaction,Monthly Income,Num Companies Worked,Percent Salary Hike,Relationship Satisfaction,Total Working Years,Years At Company,Years In Current Role,Years With Curr Manager
No,Travel_Rarely,R&D,Life Sciences,Male,Manager,Married,No,5,52,1,Master's Degree,3,3,19999,0,14,1,34,33,18,9
No,Travel_Rarely,R&D,Medical,Female,Research Scientist,Single,No,2,27,9,Bachelor's Degree,4,2,2279,1,16,4,7,7,7,3
Yes,Travel_Rarely,R&D,Life Sciences,Male,Manufacturing Director,Married,Yes,1,35,23,Associates Degree,2,3,5916,3,13,1,8,1,0,1
No,Non-Travel,R&D,Medical,Male,Research Scientist,Divorced,No,3,43,7,Bachelor's Degree,4,4,2089,4,14,4,7,5,4,2
No,Non-Travel,R&D,Medical,Male,Manager,Married,No,1,45,2,Associates Degree,1,4,16792,9,23,4,22,20,8,8
No,Travel_Rarely,R&D,Life Sciences,Male,Research Scientist,Married,Yes,3,37,21,Bachelor's Degree,2,1,3564,1,12,1,8,8,7,7
No,Travel_Frequently,R&D,Medical,Female,Laboratory Technician,Single,No,5,35,2,Bachelor's Degree,2,2,4425,5,11,4,10,6,2,2
No,Non-Travel,R&D,Medical,Female,Manufacturing Director,Divorced,No,5,42,21,Associates Degree,3,3,5265,2,16,2,11,5,3,2
No,Travel_Rarely,R&D,Life Sciences,Male,Manufacturing Director,Married,No,3,38,2,Master's Degree,4,3,6553,9,14,2,14,1,0,0
No,Travel_Rarely,R&D,Technical Degree,Male,Manufacturing Director,Married,No,3,38,29,Bachelor's Degree,4,4,6261,3,18,1,9,7,7,7
No,Travel_Frequently,R&D,Technical Degree,Male,Manufacturing Director,Married,No,1,27,1,High School,3,1,4298,5,19,3,6,2,2,0
No,Non-Travel,R&D,Life Sciences,Male,Manufacturing Director,Divorced,Yes,0,49,18,Master's Degree,4,4,6804,1,15,1,7,7,7,7
No,Travel_Frequently,R&D,Medical,Male,Research Scientist,Divorced,Yes,4,34,10,Master's Degree,4,3,3815,1,17,4,5,5,3,0
No,Travel_Rarely,R&D,Medical,Male,Laboratory Technician,Married,Yes,2,40,19,Associates Degree,3,4,2741,8,15,3,15,7,2,7
Yes,Travel_Rarely,R&D,Medical,Male,Healthcare Representative,Married,Yes,2,38,29,High School,2,1,6673,7,19,2,17,1,0,0
Yes,Travel_Rarely,Sales,Marketing,Female,Sales Executive,Married,No,3,29,27,Bachelor's Degree,2,4,7639,1,22,4,10,10,4,9
No,Travel_Rarely,R&D,Life Sciences,Male,Research Scientist,Divorced,Yes,2,22,5,Bachelor's Degree,4,2,2328,1,16,1,4,4,2,2
No,Travel_Frequently,R&D,Medical,Female,Laboratory Technician,Single,No,2,36,18,High School,2,4,2153,1,13,1,8,8,1,7
No,Non-Travel,R&D,Life Sciences,Male,Healthcare Representative,Married,No,5,40,9,Doctoral Degree,4,4,4876,9,14,4,5,3,2,2
No,Travel_Rarely,R&D,Medical,Male,Healthcare Representative,Divorced,No,3,46,1,Master's Degree,4,1,9396,7,16,3,17,4,2,3
Yes,Travel_Rarely,Sales,Medical,Male,Sales Executive,Married,No,2,32,4,Master's Degree,4,4,10400,1,11,3,14,14,8,8
No,Non-Travel,R&D,Life Sciences,Male,Manufacturing Director,Single,No,2,30,1,High School,3,3,8474,1,22,3,12,11,8,8
No,Travel_Frequently,Sales,Life Sciences,Female,Sales Executive,Single,No,2,27,20,Bachelor's Degree,4,3,9981,1,14,4,7,7,7,7
No,Travel_Rarely,R&D,Life Sciences,Male,Research Director,Married,No,5,51,8,Master's Degree,2,2,12490,5,16,4,16,10,9,7
Yes,Travel_Rarely,R&D,Technical Degree,Female,Research Scientist,Single,Yes,5,30,3,Bachelor's Degree,4,1,2657,5,11,3,8,5,2,4
No,Travel_Rarely,Sales,Life Sciences,Female,Manager,Single,Yes,3,41,6,Bachelor's Degree,4,4,13591,3,18,3,16,1,0,0
Yes,Travel_Frequently,Sales,Marketing,Female,Sales Executive,Single,No,5,30,26,Master's Degree,3,1,6696,5,15,3,9,6,3,1
Yes,Travel_Rarely,R&D,Technical Degree,Male,Research Scientist,Single,No,1,29,1,Bachelor's Degree,3,3,2058,0,14,4,7,6,2,5
No,Non-Travel,Sales,Medical,Female,Sales Executive,Single,No,2,45,6,Bachelor's Degree,4,4,8865,6,12,4,23,19,7,8
No,Travel_Rarely,Sales,Marketing,Female,Sales Executive,Married,No,4,54,3,Bachelor's Degree,4,1,5940,2,14,4,16,6,2,5
No,Travel_Rarely,R&D,Life Sciences,Male,Laboratory Technician,Single,No,3,36,5,Associates Degree,4,2,5914,8,16,4,16,13,11,7
No,Travel_Rarely,R&D,Medical,Female,Research Scientist,Married,No,3,33,4,Master's Degree,3,2,2622,6,21,4,7,3,2,1
No,Travel_Frequently,R&D,Other,Male,Research Director,Divorced,Yes,1,37,11,Bachelor's Degree,2,4,12185,1,14,3,10,10,8,7
No,Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Divorced,No,6,38,3,Bachelor's Degree,1,3,10609,0,12,3,17,16,10,13
No,Non-Travel,R&D,Medical,Male,Manufacturing Director,Married,No,2,31,1,Master's Degree,3,3,4345,0,12,4,6,5,4,4
No,Travel_Rarely,R&D,Life Sciences,Male,Research Scientist,Married,No,6,59,3,Bachelor's Degree,3,4,2177,3,17,1,7,1,0,0
No,Travel_Frequently,Sales,Marketing,Male,Sales Representative,Divorced,No,2,37,4,Master's Degree,1,4,2793,4,17,3,13,9,8,8
No,Travel_Frequently,Sales,Medical,Female,Sales Executive,Married,No,5,29,1,High School,2,4,7918,1,14,4,11,11,10,1
No,Travel_Frequently,Sales,Marketing,Female,Sales Executive,Single,No,3,35,1,Bachelor's Degree,3,3,8789,1,14,1,10,10,7,8
Yes,Travel_Rarely,R&D,Medical,Male,Research Scientist,Single,Yes,3,29,18,High School,3,4,2389,1,13,3,4,4,3,1
No,Travel_Rarely,R&D,Life Sciences,Female,Laboratory Technician,Single,No,3,52,2,Bachelor's Degree,3,4,3212,7,15,2,6,2,2,2
No,Travel_Rarely,R&D,Technical Degree,Male,Manager,Married,No,3,42,4,Associates Degree,3,4,19232,1,11,4,22,22,17,15
No,Travel_Rarely,HR,Medical,Male,Human Resources,Married,No,2,59,6,Associates Degree,2,3,2267,8,17,4,7,2,2,2
No,Travel_Rarely,Sales,Medical,Female,Manager,Divorced,No,3,50,1,Master's Degree,4,4,19517,3,11,3,32,7,0,6
Yes,Travel_Rarely,R&D,Medical,Male,Laboratory Technician,Married,Yes,2,33,14,Bachelor's Degree,3,4,2436,5,13,3,8,5,4,4
No,Travel_Rarely,Sales,Marketing,Female,Manager,Married,Yes,3,43,16,Bachelor's Degree,4,4,16064,5,22,3,22,17,13,9
Yes,Travel_Rarely,R&D,Life Sciences,Female,Laboratory Technician,Married,No,3,33,2,Associates Degree,1,1,2707,7,20,1,13,9,7,7
No,Non-Travel,Sales,Life Sciences,Male,Manager,Single,Yes,2,52,2,Master's Degree,1,3,19068,1,18,4,33,33,7,12
No,Travel_Rarely,Sales,Life Sciences,Female,Sales Representative,Married,No,5,32,4,Associates Degree,3,2,3931,2,11,1,6,4,3,2
Yes,Travel_Rarely,R&D,Life Sciences,Male,Laboratory Technician,Single,Yes,2,32,1,Bachelor's Degree,4,3,3730,0,14,4,4,3,2,2
No,Travel_Rarely,R&D,Medical,Female,Laboratory Technician,Divorced,No,1,39,1,Master's Degree,3,3,2232,7,14,3,7,3,2,2
No,Non-Travel,Sales,Marketing,Male,Sales Executive,Married,No,2,32,26,Master's Degree,3,4,4465,0,18,1,4,3,2,2
No,Travel_Rarely,R&D,Life Sciences,Male,Research Scientist,Divorced,No,2,41,19,Associates Degree,3,1,3072,2,16,1,17,1,0,0
No,Travel_Rarely,R&D,Technical Degree,Male,Research Scientist,Divorced,No,3,40,24,Associates Degree,1,4,3319,1,17,1,9,9,8,7
No,Travel_Rarely,R&D,Other,Male,Manager,Married,No,2,45,1,Bachelor's Degree,3,4,19202,0,11,3,25,24,0,7
No,Travel_Frequently,R&D,Medical,Male,Research Director,Divorced,No,3,31,3,Master's Degree,2,3,13675,9,12,1,9,2,2,2
No,Travel_Rarely,R&D,Life Sciences,Female,Research Scientist,Married,No,2,33,5,Master's Degree,3,4,2911,1,13,3,2,2,2,2
No,Travel_Rarely,R&D,Life Sciences,Male,Manufacturing Director,Married,No,3,34,2,Master's Degree,4,1,5957,6,13,2,13,11,9,9
No,Travel_Rarely,R&D,Medical,Female,Research Scientist,Married,No,2,37,1,Associates Degree,3,1,3920,2,14,1,17,3,1,2
No,Travel_Frequently,R&D,Life Sciences,Male,Manufacturing Director,Married,No,1,45,7,Master's Degree,1,3,6434,4,17,4,9,3,2,2
Yes,Travel_Frequently,R&D,Medical,Male,Manufacturing Director,Divorced,No,5,37,10,Bachelor's Degree,1,3,10048,6,11,2,17,1,0,0
No,Travel_Frequently,R&D,Technical Degree,Female,Healthcare Representative,Single,No,1,39,2,Master's Degree,3,3,10938,0,25,4,20,19,6,8
No,Travel_Rarely,R&D,Life Sciences,Male,Research Scientist,Single,No,1,29,15,Bachelor's Degree,3,4,2340,1,19,1,6,6,5,5
No,Travel_Rarely,R&D,Life Sciences,Female,Research Scientist,Single,Yes,1,42,17,Associates Degree,4,1,6545,3,13,3,10,3,2,2
No,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Divorced,No,2,29,20,Associates Degree,4,4,6931,2,14,4,10,3,2,2
No,Travel_Rarely,R&D,Life Sciences,Female,Manufacturing Director,Married,No,3,25,1,Bachelor's Degree,1,3,4898,0,12,4,5,4,2,2
No,Travel_Rarely,R&D,Medical,Female,Laboratory Technician,Divorced,Yes,4,42,2,Bachelor's Degree,4,1,2593,0,11,3,10,9,6,8
No,Travel_Rarely,R&D,Medical,Male,Research Director,Divorced,No,5,40,2,Associates Degree,1,3,19436,0,19,4,22,21,7,9
No,Travel_Rarely,R&D,Life Sciences,Male,Research Scientist,Married,No,0,51,1,Bachelor's Degree,3,4,2723,1,11,2,1,1,0,0
Yes,Travel_Frequently,R&D,Medical,Male,Laboratory Technician,Single,No,2,31,29,Associates Degree,3,2,3479,0,11,2,6,5,4,4
No,Travel_Frequently,R&D,Life Sciences,Male,Laboratory Technician,Married,No,3,32,7,Bachelor's Degree,2,2,2794,1,20,3,5,5,1,3
No,Non-Travel,Sales,Life Sciences,Male,Sales Executive,Married,No,0,38,2,Associates Degree,4,4,5249,3,18,4,13,8,7,5
No,Travel_Rarely,R&D,Technical Degree,Male,Laboratory Technician,Single,No,5,32,2,High School,4,1,2176,4,13,4,9,6,2,4
No,Travel_Rarely,Sales,Technical Degree,Female,Manager,Married,Yes,2,46,2,Bachelor's Degree,3,2,16872,3,12,2,28,7,7,7
Yes,Travel_Rarely,R&D,Life Sciences,Male,Laboratory Technician,Single,No,5,28,2,Master's Degree,1,3,3485,2,11,3,5,0,0,0
No,Travel_Rarely,Sales,Medical,Male,Sales Executive,Married,No,2,29,2,Bachelor's Degree,1,2,6644,2,19,2,10,0,0,0
No,Travel_Rarely,R&D,Medical,Male,Healthcare Representative,Married,No,2,31,23,Bachelor's Degree,2,4,5582,0,21,2,10,9,0,8
No,Non-Travel,R&D,Life Sciences,Male,Healthcare Representative,Divorced,No,2,25,5,Associates Degree,2,1,4000,1,12,4,6,6,3,5
No,Travel_Rarely,R&D,Medical,Male,Healthcare Representative,Married,Yes,2,45,20,Associates Degree,3,4,13496,0,14,2,21,20,7,10
No,Travel_Rarely,R&D,Life Sciences,Male,Laboratory Technician,Married,No,4,36,6,Bachelor's Degree,4,4,3210,0,11,3,16,15,13,11
No,Travel_Rarely,R&D,Medical,Male,Manager,Single,Yes,2,55,1,Bachelor's Degree,4,1,19045,0,14,3,37,36,10,13
Yes,Non-Travel,R&D,Life Sciences,Male,Manager,Married,Yes,2,47,29,Master's Degree,1,2,11849,1,12,4,10,10,7,9
No,Travel_Rarely,R&D,Medical,Male,Research Scientist,Married,No,3,28,9,Bachelor's Degree,4,4,2070,1,23,4,5,5,2,4
No,Travel_Rarely,Sales,Medical,Male,Sales Executive,Married,No,5,37,6,Master's Degree,3,4,6502,4,14,2,7,5,4,1
No,Travel_Rarely,R&D,Medical,Male,Research Scientist,Single,No,4,21,3,Associates Degree,4,3,3230,1,17,1,3,3,2,0
No,Non-Travel,R&D,Medical,Female,Research Director,Divorced,Yes,2,37,1,Master's Degree,1,4,13603,2,18,1,15,5,2,2
No,Travel_Rarely,R&D,Life Sciences,Female,Manager,Divorced,No,6,35,22,Bachelor's Degree,2,2,11996,7,18,2,10,7,7,2
No,Travel_Rarely,Sales,Medical,Female,Sales Executive,Divorced,Yes,3,38,7,Associates Degree,1,1,5605,1,24,3,8,8,0,7
No,Travel_Frequently,R&D,Life Sciences,Female,Manufacturing Director,Divorced,No,6,26,1,Bachelor's Degree,3,2,6397,1,20,1,6,6,5,4
No,Travel_Rarely,R&D,Life Sciences,Male,Research Director,Divorced,No,4,50,4,High School,1,2,19144,3,14,1,28,10,4,6
No,Travel_Rarely,R&D,Medical,Male,Research Director,Married,Yes,5,53,3,Master's Degree,3,3,17584,3,16,4,21,5,3,3
No,Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Married,No,3,42,1,High School,2,3,4907,1,25,3,20,20,16,6
No,Travel_Frequently,Sales,Life Sciences,Male,Sales Executive,Single,No,3,29,2,Associates Degree,2,4,4554,1,18,1,10,10,7,9
No,Travel_Rarely,R&D,Technical Degree,Male,Laboratory Technician,Married,Yes,4,55,20,Associates Degree,2,4,5415,3,19,4,12,10,7,8
No,Travel_Frequently,R&D,Medical,Male,Healthcare Representative,Married,Yes,3,26,11,Associates Degree,1,1,4741,1,13,3,5,5,3,3
No,Travel_Rarely,R&D,Life Sciences,Female,Research Scientist,Single,No,3,37,1,Bachelor's Degree,4,4,2115,1,12,2,17,17,12,7
Yes,Travel_Frequently,R&D,Life Sciences,Male,Laboratory Technician,Divorced,Yes,0,44,24,Bachelor's Degree,4,3,3161,3,22,4,19,1,0,0
No,Travel_Rarely,R&D,Life Sciences,Male,Healthcare Representative,Divorced,No,2,38,23,Master's Degree,4,4,5745,9,14,2,10,2,2,2
Yes,Travel_Rarely,R&D,Medical,Male,Laboratory Technician,Divorced,Yes,2,26,16,Master's Degree,1,2,2373,2,13,4,5,3,2,2
No,Travel_Rarely,R&D,Life Sciences,Female,Research Scientist,Single,No,3,28,8,Associates Degree,4,4,3310,1,21,4,5,5,3,2
No,Travel_Frequently,R&D,Life Sciences,Female,Research Director,Single,Yes,4,49,10,Master's Degree,3,1,18665,9,11,4,22,3,2,2
No,Travel_Rarely,R&D,Technical Degree,Male,Research Scientist,Single,No,2,36,3,Bachelor's Degree,3,2,4485,4,12,4,10,8,0,7
No,Travel_Frequently,Sales,Marketing,Female,Sales Representative,Divorced,No,5,31,5,Bachelor's Degree,4,2,2789,1,11,3,2,2,2,2
Yes,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Single,Yes,0,26,4,Master's Degree,4,4,5828,1,12,2,8,8,7,4
No,Travel_Frequently,R&D,Medical,Male,Research Scientist,Married,Yes,3,37,9,Bachelor's Degree,2,4,2326,1,12,3,4,4,2,2
No,Travel_Frequently,Sales,Marketing,Female,Sales Executive,Married,No,2,42,26,Bachelor's Degree,3,2,13525,5,14,4,23,20,4,8
Yes,Travel_Rarely,R&D,Life Sciences,Male,Laboratory Technician,Single,No,2,18,3,Bachelor's Degree,3,3,1420,1,13,3,0,0,0,0
No,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Married,No,3,35,16,Bachelor's Degree,3,2,8020,0,15,3,12,11,9,9
No,Travel_Frequently,R&D,Life Sciences,Male,Laboratory Technician,Married,No,2,36,18,Master's Degree,3,4,3688,4,18,4,4,1,0,0
No,Travel_Rarely,R&D,Medical,Male,Manufacturing Director,Divorced,No,3,51,2,Bachelor's Degree,4,2,5482,5,18,4,13,4,1,2
No,Travel_Rarely,Sales,Life Sciences,Male,Manager,Single,No,2,41,2,Master's Degree,4,2,16015,1,19,2,22,22,10,4
No,Travel_Rarely,Sales,Medical,Female,Sales Representative,Single,No,2,18,10,Bachelor's Degree,4,3,1200,1,12,1,0,0,0,0
No,Travel_Rarely,R&D,Medical,Male,Healthcare Representative,Single,No,2,28,16,Associates Degree,2,1,5661,0,19,3,9,8,3,7
No,Travel_Rarely,Sales,Technical Degree,Male,Sales Executive,Married,No,3,31,7,Bachelor's Degree,2,4,6929,4,11,2,10,8,7,7
No,Travel_Rarely,R&D,Medical,Male,Healthcare Representative,Divorced,No,5,39,1,Bachelor's Degree,3,4,9613,0,17,1,19,18,10,7
No,Non-Travel,R&D,Life Sciences,Female,Laboratory Technician,Married,No,3,36,24,Master's Degree,2,2,5674,7,15,3,11,9,8,8
No,Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Married,No,3,32,7,Bachelor's Degree,4,3,5484,1,14,3,13,13,8,8
No,Travel_Rarely,R&D,Life Sciences,Female,Research Director,Married,No,2,38,25,Associates Degree,1,2,12061,3,17,3,19,10,8,1
No,Non-Travel,R&D,Life Sciences,Male,Healthcare Representative,Divorced,Yes,2,58,1,Master's Degree,4,3,5660,2,13,4,12,5,3,2
No,Travel_Rarely,R&D,Technical Degree,Male,Research Scientist,Married,Yes,4,31,5,Master's Degree,3,4,4821,0,12,3,6,5,2,3
No,Travel_Rarely,HR,Human Resources,Male,Human Resources,Married,No,1,31,2,Bachelor's Degree,1,1,6410,3,12,4,9,2,2,0
No,Travel_Frequently,R&D,Life Sciences,Male,Laboratory Technician,Divorced,No,2,45,7,Bachelor's Degree,1,1,5210,1,18,1,24,24,9,11
No,Travel_Rarely,R&D,Life Sciences,Male,Research Scientist,Divorced,Yes,2,31,2,Master's Degree,3,4,2695,0,18,2,3,2,2,2
No,Travel_Frequently,R&D,Life Sciences,Female,Manager,Married,No,2,33,5,Master's Degree,4,2,11878,6,11,2,12,10,6,8
No,Travel_Rarely,R&D,Medical,Male,Manager,Married,Yes,3,39,10,High School,3,1,17068,1,14,4,21,21,9,10
No,Travel_Frequently,R&D,Life Sciences,Female,Laboratory Technician,Single,No,5,43,10,Master's Degree,3,4,2455,0,19,1,9,8,7,7
No,Travel_Rarely,R&D,Technical Degree,Female,Healthcare Representative,Single,Yes,2,49,1,Associates Degree,3,3,13964,7,12,4,25,7,1,7
Yes,Travel_Rarely,R&D,Medical,Male,Research Scientist,Married,No,3,52,8,Master's Degree,3,2,4941,2,15,1,11,8,2,7
No,Travel_Rarely,R&D,Life Sciences,Female,Research Scientist,Single,Yes,2,27,5,Bachelor's Degree,3,2,2478,1,12,2,4,4,3,2
No,Travel_Rarely,Sales,Technical Degree,Female,Sales Executive,Married,Yes,2,32,8,Associates Degree,3,2,5228,1,11,4,13,13,12,9
No,Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Single,Yes,3,27,2,Bachelor's Degree,4,3,4478,1,11,1,5,5,4,4
No,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Divorced,No,3,31,7,Bachelor's Degree,4,4,7547,4,12,4,13,7,7,7
No,Travel_Rarely,R&D,Medical,Female,Research Scientist,Single,No,0,32,2,Master's Degree,1,4,5055,7,16,3,10,7,7,7
Yes,Travel_Rarely,R&D,Medical,Male,Research Scientist,Married,Yes,4,28,2,Master's Degree,1,4,3464,5,13,4,5,3,2,2
No,Travel_Rarely,R&D,Medical,Female,Research Scientist,Married,No,2,30,28,Associates Degree,4,4,5775,1,13,4,11,10,8,9
No,Travel_Frequently,R&D,Life Sciences,Female,Manufacturing Director,Married,No,2,31,7,Associates Degree,3,3,8943,1,24,1,10,10,9,9
No,Travel_Frequently,R&D,Medical,Male,Manager,Married,No,2,39,7,Associates Degree,3,4,19272,1,15,1,21,21,9,3
Yes,Travel_Rarely,Sales,Medical,Female,Sales Executive,Married,Yes,3,39,3,Associates Degree,4,3,5238,4,18,1,12,1,0,0
No,Travel_Frequently,Sales,Marketing,Male,Sales Executive,Single,No,6,33,10,Bachelor's Degree,2,4,4682,3,14,3,9,7,7,1
No,Travel_Rarely,R&D,Life Sciences,Male,Research Director,Married,No,2,47,5,Doctoral Degree,4,3,18300,4,11,2,21,3,2,1
No,Travel_Frequently,R&D,Life Sciences,Female,Laboratory Technician,Divorced,No,3,43,10,Master's Degree,3,3,5257,1,11,2,9,9,7,0
No,Non-Travel,Sales,Marketing,Male,Sales Executive,Married,Yes,0,27,1,High School,3,2,6349,0,13,4,6,5,4,4
No,Travel_Frequently,R&D,Life Sciences,Female,Research Scientist,Single,No,4,54,20,Master's Degree,4,3,4869,3,12,4,20,4,3,3
No,Travel_Rarely,R&D,Life Sciences,Female,Healthcare Representative,Married,No,1,43,7,Bachelor's Degree,3,1,9985,8,16,1,10,1,0,0
No,Travel_Rarely,R&D,Other,Male,Research Scientist,Married,No,3,45,8,Master's Degree,4,4,3697,9,14,1,12,10,9,8
No,Travel_Rarely,Sales,Medical,Male,Sales Executive,Married,Yes,2,40,1,Associates Degree,2,4,7457,2,22,3,6,4,3,2
Yes,Travel_Rarely,R&D,Other,Male,Laboratory Technician,Married,Yes,4,29,8,Master's Degree,2,1,2119,1,11,4,7,7,7,7
No,Travel_Rarely,R&D,Other,Male,Laboratory Technician,Single,No,2,29,9,Doctoral Degree,2,4,3983,0,17,3,4,3,2,2
No,Travel_Rarely,Sales,Marketing,Female,Sales Executive,Divorced,No,2,30,5,Bachelor's Degree,4,3,6118,1,13,3,10,10,9,2
No,Travel_Rarely,Sales,Marketing,Female,Sales Executive,Married,No,3,27,8,Master's Degree,2,2,6214,1,18,1,8,8,7,7
No,Travel_Rarely,R&D,Medical,Male,Manufacturing Director,Divorced,No,2,37,5,Associates Degree,4,4,6347,7,16,3,8,6,2,4
No,Travel_Rarely,R&D,Life Sciences,Male,Research Director,Divorced,Yes,3,38,15,Associates Degree,3,4,11510,0,14,2,12,11,10,9
No,Travel_Rarely,R&D,Medical,Female,Manufacturing Director,Single,Yes,2,31,7,Master's Degree,3,4,7143,1,14,3,11,11,9,10
No,Travel_Rarely,Sales,Marketing,Female,Sales Executive,Divorced,Yes,2,29,10,High School,4,2,8268,1,14,1,7,7,7,7
No,Travel_Rarely,R&D,Technical Degree,Male,Manufacturing Director,Single,No,5,35,5,Master's Degree,3,2,8095,0,13,4,17,16,6,13
No,Travel_Rarely,R&D,Life Sciences,Male,Research Scientist,Divorced,No,2,23,26,High School,3,4,2904,1,12,3,4,4,2,2
No,Travel_Rarely,R&D,Medical,Male,Manufacturing Director,Single,Yes,3,41,6,Bachelor's Degree,4,2,6032,6,15,4,8,5,4,2
No,Travel_Frequently,Sales,Medical,Male,Sales Representative,Single,No,3,47,4,High School,2,3,2976,3,19,1,5,0,0,0
No,Travel_Rarely,R&D,Life Sciences,Female,Research Director,Single,No,2,42,23,Doctoral Degree,1,4,15992,2,14,2,16,1,0,0
No,Non-Travel,Sales,Life Sciences,Male,Sales Executive,Married,No,3,29,2,Bachelor's Degree,4,3,4649,1,14,1,4,4,3,2
No,Travel_Rarely,HR,Technical Degree,Male,Human Resources,Divorced,Yes,5,42,2,High School,3,3,2696,0,11,3,4,3,2,0
No,Travel_Rarely,R&D,Medical,Female,Laboratory Technician,Married,No,4,32,2,Bachelor's Degree,3,2,2370,1,13,3,8,8,0,7
No,Travel_Rarely,Sales,Medical,Female,Manager,Married,No,3,48,29,High School,1,3,12504,3,21,2,15,0,0,0
No,Travel_Rarely,R&D,Medical,Male,Research Scientist,Divorced,Yes,2,37,6,Bachelor's Degree,3,1,5974,4,13,1,13,7,7,7
No,Non-Travel,Sales,Technical Degree,Female,Sales Executive,Married,Yes,2,30,25,Associates Degree,4,3,4736,7,12,2,4,2,2,2
No,Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Married,No,3,26,1,Bachelor's Degree,3,3,5296,1,17,2,8,8,7,7
No,Travel_Rarely,R&D,Other,Male,Healthcare Representative,Single,No,6,42,2,Master's Degree,1,4,6781,3,23,2,14,1,0,0
Yes,Travel_Frequently,Sales,Technical Degree,Female,Sales Representative,Single,Yes,3,21,1,High School,1,2,2174,1,11,3,3,3,2,2
No,Non-Travel,Sales,Medical,Female,Sales Executive,Single,No,6,36,1,Doctoral Degree,4,4,6653,4,15,2,7,1,0,0
No,Travel_Frequently,Sales,Medical,Male,Sales Executive,Married,No,2,36,3,Master's Degree,1,4,9699,4,11,1,16,13,9,12
No,Travel_Rarely,R&D,Medical,Male,Healthcare Representative,Married,No,2,57,1,Master's Degree,4,3,6755,2,11,3,15,3,2,2
No,Travel_Rarely,R&D,Life Sciences,Female,Laboratory Technician,Married,Yes,3,40,10,Master's Degree,4,3,2213,3,13,3,10,7,7,7
No,Non-Travel,Sales,Medical,Male,Sales Representative,Single,No,3,21,9,Associates Degree,1,4,2610,1,24,3,3,3,2,2
Yes,Travel_Rarely,Sales,Marketing,Female,Sales Representative,Single,Yes,2,33,5,Bachelor's Degree,4,3,2851,1,13,2,1,1,0,0
No,Travel_Rarely,R&D,Medical,Female,Laboratory Technician,Married,No,3,37,10,Bachelor's Degree,3,1,3452,6,20,2,17,5,4,3
No,Non-Travel,R&D,Medical,Female,Manufacturing Director,Married,No,2,46,7,Master's Degree,3,3,5258,2,14,3,7,1,0,0
Yes,Travel_Frequently,Sales,Marketing,Male,Sales Executive,Single,No,5,41,4,Bachelor's Degree,1,2,9355,1,18,3,8,8,7,7
No,Travel_Rarely,R&D,Technical Degree,Male,Healthcare Representative,Single,No,2,50,10,Bachelor's Degree,4,4,10496,6,15,4,20,4,3,3
Yes,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Married,Yes,6,40,22,Associates Degree,3,3,6380,2,12,1,8,6,4,0
No,Travel_Rarely,R&D,Life Sciences,Male,Research Scientist,Single,Yes,5,31,9,Master's Degree,3,2,2657,0,16,4,3,2,2,2
Yes,Travel_Rarely,Sales,Life Sciences,Female,Sales Representative,Single,No,0,21,12,Bachelor's Degree,3,2,2716,1,15,4,1,1,0,0
No,Travel_Rarely,R&D,Life Sciences,Male,Research Scientist,Single,No,4,29,23,Bachelor's Degree,4,4,2201,9,16,4,6,3,2,2
No,Travel_Rarely,R&D,Life Sciences,Male,Healthcare Representative,Single,No,5,35,9,Master's Degree,3,2,6540,9,19,3,10,1,1,0
No,Travel_Rarely,R&D,Medical,Male,Laboratory Technician,Divorced,No,2,27,1,Associates Degree,4,2,3816,1,11,2,5,5,2,4
No,Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Single,No,1,28,9,Master's Degree,2,4,5253,1,16,4,7,7,5,7
No,Travel_Rarely,R&D,Other,Male,Healthcare Representative,Single,No,2,49,7,Bachelor's Degree,2,3,10965,8,24,3,26,5,2,0
No,Travel_Rarely,Sales,Life Sciences,Female,Sales Executive,Married,No,2,51,14,Associates Degree,3,4,4936,4,11,3,18,7,7,7
No,Travel_Rarely,R&D,Life Sciences,Female,Research Scientist,Married,No,3,36,2,Bachelor's Degree,4,3,2543,4,13,2,6,2,2,2
Yes,Non-Travel,Sales,Marketing,Male,Sales Executive,Single,Yes,3,34,19,Bachelor's Degree,1,4,5304,8,13,2,9,5,2,4
No,Travel_Rarely,R&D,Life Sciences,Female,Manager,Single,Yes,2,55,2,Bachelor's Degree,3,4,16659,2,13,3,30,5,4,2
No,Travel_Rarely,Sales,Marketing,Female,Sales Executive,Divorced,Yes,2,24,10,Master's Degree,4,3,4260,1,12,4,5,5,2,3
No,Travel_Rarely,Sales,Technical Degree,Male,Sales Representative,Married,No,3,30,2,High School,3,2,2476,1,18,1,1,1,0,0
